Tên sản phẩm,Giá trước khi giảm,Giá sau khi giảm,Image_url
Máy tính để bàn - PC HP 22-b201d Z8F51AA (21.5"/i3-7100U/4GB/1TB HDD/HD 620/Win10),None,LIÊN HỆ,https://lh3.googleusercontent.com/sC8XNN6EzZAg7j5-dbgewdYlRFuE3eXzj3yQ1txuSeBF-OIE-5X5u2-L7tkdl1Q4QRNu9pisVlR5T7AXrw=w500-rw
Máy tính để bàn PC HP EliteDesk 800 G4 (4SA37PA) (Intel Core i3-8100 3.6 GHz/8GB RAM/1TB/Intel UHD Graphics 630/Free DOS),13.450.000đ,10.390.000đ,https://lh3.googleusercontent.com/RbbAEsUrxKhseyH_hQ5moWuT1iC4Vutrj-0Ibj5ZSsGiOo8waKI0Sgsq2xAyzN8MxMSb6_HIZ8XMzsbIU_I=w500-rw
Máy tính để bàn - PC Lenovo IdeaCentre 510-15ICB 90HU0096VN (i5-8400/4GB/1TB HDD/GT 730/Win10),12.690.000đ,10.990.000đ,https://lh3.googleusercontent.com/g6vHyeNQRAakIjm-lpZz2K5_dzoeaRRPDgiB73VRco1nJOivPSNqJ-35D0-AMNJ3xgU90wE7fNXR-N3ccA=w500-rw
Máy tính để bàn - PC ASUS S340MC (S340MC-0G5400060T) (Pentium G5400/4GB/1TB HDD/UHD 610/Win10),None,7.890.000đ,https://lh3.googleusercontent.com/N8TUC-O7DrNw_ziaDExi6_YLTOS3S8OM44JWd8jt6504Vlimb3cxrELpKCNudgR72qY-B8N7Z6ppBrGipr6z=w500-rw
PC Acer Aspire XC-885 DT.BAQSV.027 (i3-9100/4GB/1TB HDD/UHD 630/Win10),None,10.890.000đ,https://lh3.googleusercontent.com/0tQ6YeCrZXrw2R_drK6uM-sj3gzkN4sFIa6cIShh92PQ4veDqsRSe4DJBrGJItezH9iCZZE-1hPuDO7TPA=w500-rw
Máy tính để bàn - PC Acer AS XC-885 DT.BAQSV.008 (i3-8100/4GB/1TB HDD/UHD 630/Win10),10.680.000đ,9.838.000đ,https://lh3.googleusercontent.com/JAVbuWd6V46Xd5J9-d8f59eK5kka6I6jn0ny5DApvMEp6bvvDjleDTGxGCK9A0LEObq4ir-_6BqGrk6913U=w500-rw
Máy tính để bàn - PC ASUS D540SA I38100012D (i3-8100/4GB/1TB HDD/UHD 630/Endless),None,10.990.000đ,https://lh3.googleusercontent.com/dUKKugnWxNvgQtYJ_RcLOseBm3InmT6bXGKDXE7m_9EqicPiQE3xZ21Y2qnQhg4NYIgQ4sPTGqsaqykMHTw=w500-rw
Máy tính để bàn - PC Acer AS XC-885 DT.BAQSV.004 (i7-8700/4GB/1TB HDD/UHD 630/Endless),15.890.000đ,12.890.000đ,https://lh3.googleusercontent.com/70JsCBMwrv45HMI_teeLZZ4-xDfp29rgoOWAQpL4brxcjRlvSWI82eNKFJTc9T7qel_nXNmLXmSrvFKFBQ=w500-rw
Máy tính để bàn - PC Phong Vũ Gaming P3 (i5-7500/8GB/120GB SSD/GTX 1070Ti),None,LIÊN HỆ,https://lh3.googleusercontent.com/tHlPyCVULcHEni4LqXaA9kjQVhjQDQGvqZ_ozDIMzaiT0tS6etuj6n_7pW7-SaVitvag3Pdu7Sh2sP28UQ=w500-rw
Máy tính để bàn - PC HP 290-p0110d 6DV51AA (i3-9100/4GB/1TB HDD/UHD 630/Win10),9.390.000đ,9.090.000đ,https://lh3.googleusercontent.com/sQo-BMaZ8gsBB0IhtvoVpq8KCp-E6Ce3FW6kFFN3W5ZbuFyFxv1v7TyBl2t7ud4Z9ePqYYdX-RxmOCPGOw=w500-rw
Máy tính để bàn - PC Dell Vostro 3470 ST HXKWJ2 (Pentium G5420/4GB/1TB HDD/UHD 610/Ubuntu),None,LIÊN HỆ,https://lh3.googleusercontent.com/4Z6dMdfqHK-A9LEVXAjaOlTrWOmN9ClZQO3H4VewLyN5UXqXaz9GlXHOta2vaY-xVe-JcnHY5G3o1S3xmMPk=w500-rw
PC HP 285 G3 MT (9VC91PA) (R3 2200G/4GB/1TB HDD/Radeon Vega 8/Win10),None,8.990.000đ,https://lh3.googleusercontent.com/8UA3bBgwXBs8Zpj361kmNfxVAjg5h8K3xxMqjD4HinrOVOzKXi2SKVR63hf4KLzNaPHV0ZwFcvszT6YK7PUU=w500-rw
PC HP 285 G3 MT (9VC79PA) (R5 PRO 2400G/4GB/1TB HDD/Radeon Vega 11/Win10),10.990.000đ,10.333.000đ,https://lh3.googleusercontent.com/2yOnz0D4j7xOP4kE6XGhfouMTDoidmB3xzRkgarJ1vUPHXGko_B3I_vzGVUbdGGtR5z3txa8uzrS-4yBsoU=w500-rw
