Tên sản phẩm,Giá trước khi giảm,Giá sau khi giảm,Image_url
Laptop ASUS ZenBook 13 UX333FA-A4011T (13.3" FHD/i5-8265U/8GB/256GB SSD/UHD 620/Win10/1.2 kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/glPNeO-AHdr1c3-oJi2NQnAzb16N_SADmwHcTvApOjUedfUMi_8Dw748d0T3Lba_iRtnb5m8aNoW4W6HsXAa=w500-rw
Laptop ASUS ZenBook 15 UX534FT-A9047T (15" FHD/i5-8265U/8GB/512GB SSD/GTX 1650/Win10/1.7kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/yOxW6a56i0wcZLPb8brYxbWpov3d3-VaTGKLKctDyjAojIFAnA9N6Iqo-OXvDz0IvFLhS4kgSRcSCpu5DK0=w500-rw
Laptop ASUS ZenBook 14 UX434FLC-A6212T (14" FHD/i5-10210U/8GB/512GB SSD/GeForce MX250/Win10/1.3kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/zJuOVv9gD742AfLhp0qaHAekNdg-_R_kCjS9T10SG6V9BJ-iiRn5rvHReYuPHBkS_ACejGYBC4I1Y6rmyA=w500-rw
Laptop ASUS ZenBook 14 UX434FAC-A6064T (14" FHD/i5-10210U/8GB/512GB SSD/Intel UHD/Win10/1.4kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/K-WrbRGUnyvPUEchrIzzZ11scTvDbp5daBcEkIxicFsZhUT9s1Hg9DWpQBUlhpZcCRSUFl9i0Fkw00Pg6KU=w500-rw
Laptop HP 15s-fq1022TU (8VY75PA) (15" FHD/i7-1065G7/8GB/512GB SSD/Intel UHD/Win10/1.7kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/ENWQOMkH5y5_BavnmrLQcrdu8pYLGd57H9upthP1SXHYEfgoa7YQtfMsDUzk6nYe9LPwTImHVRUXZQBStk8=w500-rw
Laptop HP Pavilion 14-ce3026TU (8WH93PA) (14" FHD/i5-1035G1/8GB/512GB SSD/Intel UHD/Win10/1.6kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/v4ALCLDg0NYRKL0PGXLxvOzVuoLOtoDqy9Z3CgWaH9w9YmNlh7IIQ4n_flx7WXbyJPVTnO6m-37YiUkbFA=w500-rw
Laptop HP OMEN 15-dh0169tx (8ZR37PA) (15" FHD 240Hz/i9-9880H/16GB/512GB SSD/RTX 2080/Win10/2.4kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/q2TFrdm-BpcMa8kDddjjYAi192U5tRPPTJxGKA4jJW1Zr8xJp5v-IwDPehzHTt99YOpBl1hLQ1qQQlCK1g=w500-rw
Laptop ASUS 15 D509DA-EJ116T (15" FHD/R3-3200U/4GB/1TB HDD/Radeon Vega 3/Win10/1.9kg),None,9.790.000đ,https://lh3.googleusercontent.com/QwPNriXhhwSbwsaCePnRzDryCUIzxNBxE2lh4AgZkFR1FI9Byiy5ne5ya6LoLCg0zELwHVN_5zAGP4985A=w500-rw
Laptop ASUS VivoBook 14 A412FA-EK734T (14" FHD/i5-10210U/8GB/512GB SSD/Intel UHD/Win10/1.5kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/6tvXgbEGh1b43wyxkxoVfNZ3YfKYl9AQC61n_1P_zZ1QtrLZLdi-QFdbDdplZfUfPPdu0Ek47h3rjlOkdw=w500-rw
Laptop Lenovo ThinkBook 14-IML (20RV00B4VN) (14" FHD/i5-10210U/4GB/256GB SSD/Intel UHD/Free DOS/1.5kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/ALGCENKUimRDToYgKW2Z9AKQxtb_akUMVJ6Vuss-Xe1qkNqOGp5dR3jFW9Z2g9Wn6dKtmLewq7VCVKhCIg=w500-rw
Laptop HP ProBook 450 G7-9GQ34PA (15.6" FHD/i5-10210U/8GB/256GB SSD/Intel UHD/Free DOS/1.9kg),None,LIÊN HỆ,https://lh3.googleusercontent.com/CCgXBuma-hpCEkDL_CYVllYcu-doy_rapsB4f4y1bvQjDrsZ2lnzdoDcmVmvPNm35gOePn9pJu3gXNVQD0Hp=w500-rw
Túi chống sốc 15'' (Xám),None,139.000đ,https://lh3.googleusercontent.com/Ds3OZxqHnR8Wzql1e0j-HsO2BgMzEfRag-Susk8chifTxUnEztkpfLiGt5r7AImIC4YrZ3V8yU37ap4O2g=w500-rw
Laptop Acer Aspire 3 A315-56-37DV (NX.HS5SV.001) (15.6" FHD/i3-1005G1/4GB/256GB SSD/Intel UHD/Win10/1.7kg),10.799.000đ,10.390.000đ,https://lh3.googleusercontent.com/2ug5eefH613tMernSIF5oUCCZ_8VcfO4vw4S3T-p8nXDGm6X6gyT6JctXRDwZc_s773J_Cp3p_MKvhXcl0I=w500-rw
Túi chống sốc 14'' (Xám),None,139.000đ,https://lh3.googleusercontent.com/HhIxW-bOdhyafJiecSBuJ-Fda1uZ_bV10xBCwlhm-ZWqwnq4TX4xk7s9ce8hGtScuPaRvhjWCJDSp2T_fg=w500-rw
Túi chống sốc 14'' (Đen),None,139.000đ,https://lh3.googleusercontent.com/PJTFPeacdVji_kHaHsxONW_6aiCRYV35f3bsd_zEJKwBkNjxam_CvlH1CqqiYBurqTU6UUkszNArOHvrCeE=w500-rw
Laptop ACER Aspire 5 A515-55-55JA NX.HSMSV.003 ( 15.6" Full HD/Intel Core i5-1035G1/4GB/512GB SSD/Windows 10 Home 64-bit/1.7kg),16.390.000đ,15.390.000đ,https://lh3.googleusercontent.com/d2_yakEHWfKvydKcpLUq4KKMF8aBafwtLKKBq6eyd4Z9SNim3eFhfI4QXMcXTFAzy2g-mURx3RtCSzGKOz8=w500-rw
Túi chống sốc 13'' (Đen),None,139.000đ,https://lh3.googleusercontent.com/9paw48JvFKckV5C5bzv0f4SvqkVkqSrictz9JPuON2o1u_cBOdsxzX9kw5PNYFK_4BGDaL1gRqJoLFL_2Uo=w500-rw
Túi chống sốc 14'' (Xanh dương),None,139.000đ,https://lh3.googleusercontent.com/XoHL07krj1-Hjw06dCh7gGav1uoQ6SbyQGsNQGFF3mae2PoJp4NtkA0g6etWQSjalrQkbOuYMcKAbTgf2jTa=w500-rw
Túi chống sốc 13'' (Xanh dương),None,139.000đ,https://lh3.googleusercontent.com/RYbDY8laOvzomNOjsLznfr15Kt3xyuvRN3lr1fN3E-mAamLmTRCGEYISf_PAFeCcIzkp1caAnE5wzzKaZUU=w500-rw
Laptop ACER Aspire 5 A515-55-37HD NX.HSMSV.006 ( 15.6" Full HD/Intel Core i3-1005G1/4GB/256GB SSD/Windows 10 Home 64-bit/1.7kg),13.390.000đ,11.990.000đ,https://lh3.googleusercontent.com/VwBmdYkUXUUmQeSPwqrgLKuLtRCztSvMDcylmhKiCoxpJANpgVS_butjbex6Oi5MkmVcpyAR4EIrJD_oRw=w500-rw
Túi chống sốc 15'' (Đen),None,139.000đ,https://lh3.googleusercontent.com/xMVE_s_HBs7i9BSZH071JWXEH7eSpggn8EOLBWPJq5r1r2V5La5gb_g11Zc-jFGXfsBbheqjzanv9UQlwQ=w500-rw
Túi chống sốc 15'' (Xanh dương),None,139.000đ,https://lh3.googleusercontent.com/h0M8ZN9cc3ATTdtA26XasJBXZITjEXMGLjqAslM6Mte-bJBJGeUzgCc5fTTLvLMAs1iejWM82Y1JOqHYf00=w500-rw
Túi chống sốc 13'' (Xám),None,139.000đ,https://lh3.googleusercontent.com/a0YowKEQdDJiWx4uKDyesbdeUS9CryYlEgSDdiwGZ5uzKYJaS6MytSfxVtkGDNAgJbcvkwA6kn8aV2BtovWY=w500-rw
Túi chống sốc 13'' (Đỏ),None,139.000đ,https://lh3.googleusercontent.com/TpIVHK26JsBhxgOt4_bAMTq-uc8Kl5y6Fps2GkdJCRwzID6WVM6bbJUOwRm-k8I0hoPJ8msI46OloKpE9w=w500-rw
Túi chống sốc 14'' (Đỏ),None,139.000đ,https://lh3.googleusercontent.com/biRNWI33pxOb2hSKu4IgzNE6xw-yYPmli3VSt2tCkiv3XrvaZoF7Qm3Lh8SVoFA_SsgiTrl4LR0n-fpZRmw=w500-rw
Laptop Dell Inspiron 15 3593-70205744 (15.6" FHD/i5-1035G1/4GB/256GB SSD/GeForce MX230/Win10/2.2kg),None,15.390.000đ,https://lh3.googleusercontent.com/QYHGYiqtdgFUO5SUe329KzT3vlvyQKAjhYoBETZa7mak5BRojYfB6DFcz9EPcaT9aw70eD4IIlzuR6v28U0=w500-rw
Túi chống sốc 15'' (Đỏ),None,139.000đ,https://lh3.googleusercontent.com/51TzVxgQZqoBgDECDUnPylaZs92iV1fkqIK6izA5Sdi2Vw7HN6FpQO3ZNSIUU5-f745V4YJlkOKlEnZCrA=w500-rw
Laptop Dell Inspiron 15 3593-70205743 (15.6" FHD/i5-1035G1/4GB/256GB SSD/GeForce MX230/Win10/2.2kg),16.790.000đ,15.290.000đ,https://lh3.googleusercontent.com/aPf1x4YKVcyBwAHkr6ln9coNqUFWAgtNQRVu0iLXVzg33FLNoPtnxFE363UKuiX-H-hN3Fg79P1V0c8-jA=w500-rw
