Tên sản phẩm,Giá trước khi giảm,Giá sau khi giảm,Image_url
Mainboard ASUS Prime TRX40 Pro,13.260.000đ,12.290.000đ,https://lh3.googleusercontent.com/a5mBHCKra644kt6egefu8jZiXrYRHHcPLywGNx3kgsTEc81jTJ-IRgcIOUuatNRTHNa3Bj5xf8mf60EWV4s=w500-rw
Thùng máy/ Case Asus TUF Gaming GT301,None,2.290.000đ,https://lh3.googleusercontent.com/ZBa9k3DVguPbfXLMtIYENWf7Fwq3pjUOAcMaXsPJjtXvrn8nHBMKVIB309lfkuWfBbg-dmtitDPielZBjHw=w500-rw
Ổ cứng SSD Western Digital Green 240GB 2.5" SATA 3 - WDS240G2G0A,None,930.000đ,https://lh3.googleusercontent.com/VDmltAlJo0pxGNGc5nRfH8-m_aU7Kd3XjtaMbQxJDvY9vsTHI487Zx4AUUwpMpc82ndnOZ8AGLgBa6iQMwM=w500-rw
RAM desktop KINGSTON Fury Black (1 x 8GB) DDR4 2666MHz (HX426C16FB3/8),1.090.000đ,810.000đ,https://lh3.googleusercontent.com/jnrkDz0U2NXBAhSC--Ty3sN63B2YCVaxCK-WPgYUf_emw6PyeQZLRFgZ55fRSygzzSk0E6XK8DASb52ageM=w500-rw
Ổ cứng SSD Western Digital WD Green 240GB M.2 2280 SATA 3 - WDS240G2G0B,None,930.000đ,https://lh3.googleusercontent.com/Xs49wP3D1CpWwb8P3xLQjfbYO8HdF5jVEww_OvIqOiDKXh0Ap2g4PTPEl7LK3yNcAII0yomCbJkonjFZ-g=w500-rw
Ổ cứng SSD Kingston A400 120GB Sata 3 (SA400S37/120G),790.000đ,590.000đ,https://lh3.googleusercontent.com/4QUW3hN65nFtPTXVPmyvVK-ypnjFIvDrwB5m1qtWk9UoY1XF-XDu6RSh3KtLQZ83R3_dUYD6W_RKfrPe4A=w500-rw
Ổ cứng SSD Kingston A400 240GB Sata 3 (SA400S37/240G),1.130.000đ,830.000đ,https://lh3.googleusercontent.com/UE9L3DwlVtE3pZnCwR29zgrf_SjHNOdopT3sunQbPWvIdYB3NYNanTkL-g9YNubL65chw7m1j4z7mEs53g=w500-rw
Ổ cứng HDD Western Digital Blue 1TB 3.5" SATA 3 - WD10EZEX,1.090.000đ,990.000đ,https://lh3.googleusercontent.com/pnpUXzVKH-aJPduLjo1xOjYJfYO6OCfn432_ed2otnlslkvH756FFLImRWRv7cQaqsDKrQjuiKnOK_f9WYY=w500-rw
Ổ cứng SSD Western Digital Green 120GB M.2 2280 SATA 3 - WDS120G2G0B,None,690.000đ,https://lh3.googleusercontent.com/KFUb-Zaa78u4NtZksw_FPyusNACmXGTnNlZ4wyjfiTGwBS1HGPDq8rKHIG4eBvtQVvXIC1qeQdPlESXe0Q=w500-rw
Ổ cứng HDD Seagate Barracuda 1TB 3.5" SATA 3 - ST1000DM010,None,1.050.000đ,https://lh3.googleusercontent.com/yM1w_gitNAQySU4yoeo8WWsUvWQyH0je5-g0kzSzz6IR0iKYihExNww4lGJQBEd6KTB8JLTQQumHJMLg3NQ=w500-rw
Nguồn máy tính Golden Field Dragon GTX480 - 400W,None,510.000đ,https://lh3.googleusercontent.com/Ca5jSvC0uBwk9UvqslkDVapaB_cvknRdeCN-TrtFvECbay9CbmEzXKbUTKbdIDMq9Z98S3jie7iRnX_un7U=w500-rw
Ổ cứng SSD Western Digital Blue 500GB 2.5" SATA 3 - WDS500G2B0A,None,1.890.000đ,https://lh3.googleusercontent.com/-dkzlz4K6kxuSYsDPXEtxX10u-Od90JWWZsiRXk-70iZnLJJA1d9uGTKiIwB9cEgy7EqAKpxbDh6oPQH16p4=w500-rw
RAM desktop G.SKILL Aegis F4-2666C19S-8GIS (1x8GB) DDR4 2666MHz,890.000đ,710.000đ,https://lh3.googleusercontent.com/MM-usv0ZuFmLpZtUEhuoKFkrzcrsrFJTxX7BxKbgiCrva2AvDHpc6PNVezfoO_Dr8ZZX55gJdAzWufPc40WU=w500-rw
CPU Intel Core i5-9400F (6C/6T - 2.9 GHz up to 4.1 GHz - 9MB) - LGA 1151-v2,None,3.990.000đ,https://lh3.googleusercontent.com/WkEFbZM02MrWi2xg_oYUV9wcU24tQoRwRaT4nZmB6Jen1HLD23PZhqkAed_eturDck_kstljO3B7l9H3fjaY=w500-rw
Ổ cứng SSD Gigabyte 128GB M.2 2280 NVMe Gen3 x4 (GP-GSM2NE3128GNTD),850.000đ,730.000đ,https://lh3.googleusercontent.com/RwnYV9mjrgsBu5vy3wG-nLqZP856BkkTSB2eiIkIfE-cducE7K791AP_zT8Yb7nXmezIs-evz6zhSqVz2qeb=w500-rw
RAM desktop CORSAIR Vengeance LPX CMK8GX4M1A2666C16 (1x8GB) DDR4 2666MHz,1.190.000đ,870.000đ,https://lh3.googleusercontent.com/Tm41lMYWh90kL9_W1H5t4rznifcZBTkL7CM6FVjdpZVmNSQsVn0_j_BbrYGvOB0dGHeQhLcjJnDEHAEezaM=w500-rw
Ổ cứng SSD Gigabyte 256GB M.2 2280 NVMe Gen3 x4 (GP-GSM2NE3256GNTD),1.390.000đ,1.110.000đ,https://lh3.googleusercontent.com/SImne9VdoOR47dOxZxT0tQHmtuK7av9a7YCcAhlbPZpIzOMQ8g0pykUutEfkhPBQ3Y9jTM9gRwC2DPlkqg=w500-rw
Mainboard MSI H310M PRO-VDH PLUS,1.690.000đ,1.450.000đ,https://lh3.googleusercontent.com/MaPTpkjZq9gfBtzE3Q6g7BT--ojsCQct1YPHvM__pPmDz4YzHmWLceKVn90iZXN3r0_YgkMw0FYjDbeOzZYu=w500-rw
Card màn hình MSI GeForce GTX 1050Ti 4GB GDDR5 Gaming X (GTX-1050-Ti-GAMING-X-4G),3.990.000đ,3.190.000đ,https://lh3.googleusercontent.com/lcSYKgKpMf8Wv2vvpcUNf4M5A9RhVJZDzdrOP97ZEuEQpieuJLUvixA_nnDQV76dKUYTrKNi1yRBsxcmIg=w500-rw
Ổ cứng SSD Western Digital SSD WD Green 120GB 2.5" SATA 3 - WDS120G2G0A,None,690.000đ,https://lh3.googleusercontent.com/4V5f6sKHlXd2lhh4Ch7qcU7ExgBSs3Lpat8-1fwkYK-3wRI_cnk8-ea5dcK0REVVdkXQg1J17nEuPkL97Q0B=w500-rw
RAM desktop KINGMAX Zeus Dragon (1x8GB) DDR4 2666MHz,990.000đ,810.000đ,https://lh3.googleusercontent.com/lYXGMiQv6f4yy9CbbisZpBQuGXE2lwy1N92NdgIBrkLkPsL5KukBbfsdQXdzpk6kNZHGxY9cqrQ4C4W2ag=w500-rw
Mainboard GIGABYTE B365M GAMING HD,1.750.000đ,1.670.000đ,https://lh3.googleusercontent.com/RDzdF-se6u0dKQKqCalwWin6o-xrCefhlzwd6jbnhwYVoq89-NMVHf7kOWmKrMGNmT5YTQ7paUOR87L0Pg=w500-rw
CPU INTEL Core i5-10400 (6C/12T - 2.90 GHz Up to 4.30 GHz - 12MB) - 1200,4.990.000đ,4.790.000đ,https://lh3.googleusercontent.com/UwKfc2vSQGNYIHP23DfTWcToEmsIaxjQsdx0DtIEbqCeZ5dnGBPS7d7WCVW9TOiIkfAh2ddgwDvnOR5U_jg=w500-rw
Mainboard GIGABYTE H310M DS2,None,1.550.000đ,https://lh3.googleusercontent.com/XEDAMs-QkP2XkWUVwDcUMNDhfa9V7hUN-GeM-kRTJoavz4HSGhH_MmEk-MfTFBcC9SizjTWvaliOjXK3XA=w500-rw
Ổ cứng SSD Samsung 860 Evo 250GB 2.5" SATA 3 - MZ-76E250BW,1.490.000đ,1.390.000đ,https://lh3.googleusercontent.com/iaNT5Dmb7FSq2tG5YWqTMtElscl2tBJwaOg37C4n9ZnmCXvoikhUHsHZC3rYv6wATpXyDMLg_DQGdK8olKE=w500-rw
Ổ cứng SSD Kingston A2000 250GB M.2 2280 NVMe PCIe (SA2000M8/250G),1.490.000đ,1.090.000đ,https://lh3.googleusercontent.com/1co8gYbGPNTiLWSPZILHuSA-TiowrOyExt0aUOmKa3dp5aCqYhlJ7ZvQuUv1m-w0BR6OWkUyXefQoXxk6A=w500-rw
Ổ cứng SSD Intel Optane 32GB M.2 NVMe - MEMPEK1W032GAXT,1.199.000đ,1.030.000đ,https://lh3.googleusercontent.com/mJof7-AQGKDkeb7rH8IyAbtgfV0_RbnQ5_txAFgCdUMaULy_NGN0fq0fMF85rnWGqCTlKbTWA7aF9asdgGI=w500-rw
Ổ cứng SSD Western Digital Blue 250GB 2.5" SATA 3 - WDS250G2B0A,None,1.290.000đ,https://lh3.googleusercontent.com/T0LK6nFUk3s7W2lioJcV52pWJzptIG52RQcDV3GZLJap9N0RhlyqPSed5M4p8X7tqKqBGuefItdZd9pYNLE=w500-rw
Ổ cứng di động HDD Western Digital Elements Portable 1TB 2.5" USB 3.0 - WDBUZG0010BBK-WESN (Đen),None,1.590.000đ,https://lh3.googleusercontent.com/4EpjE8i3shYTa6IdSRD4UjUCAW1ZYgA8gM07MAAZDoncWKSX965RLlWybXi2njKDhfGKs8RyuuTm0xkWVw=w500-rw
Box ổ cứng 2.5'' Orico 2139U3 SSD/HDD Sata 3 USB 3.0,179.000đ,129.000đ,https://lh3.googleusercontent.com/YiLWPbppVy7uHpwBUxBUyPDuRw-AIYDT6qQNLQjuZjKBYoFxXQHHNCDonMdw3CKAPGC7VinQfoHgsuvV7QY=w500-rw
RAM GIGABYTE 8GB DDR4-2666 (GP-GR26C16S8K1HU408 G_DDR2666),1.090.000đ,850.000đ,https://lh3.googleusercontent.com/g2iOXX1nB2Ukhyz6SYFfTJtGLSInkuViUvnZ0XJMUzohImPfB0QKrt0p0x1PEmWINKrX_EpPARswcatpddY=w500-rw
Mainboard GIGABYTE B365M-DS3H,1.950.000đ,1.890.000đ,https://lh3.googleusercontent.com/6HKCY6V9p2PebZb8pOXK3qikJnhLx6nIWICX5THtO0OidsdVSZoYknsrz9jPlIHpmZOtW0HzHu6xOYqraA=w500-rw
RAM desktop KINGMAX (1x4GB) DDR3 1600MHz,590.000đ,500.000đ,https://lh3.googleusercontent.com/33Q9QTeCFz4j1UI_ABD-bDFVshrIPcraVPMyRIrQUfn3shVAPjimbi-ghRD2Qe04To63i_ezmmt-OK46U_c=w500-rw
Mainboard GIGABYTE GA-A320M-S2H,1.350.000đ,1.290.000đ,https://lh3.googleusercontent.com/joLDVCJkgugNNJXFQALBxvEeSzgRVhgl9FJq8kRHAI2rxhd6B6_0nSIq67XFmnNiCj38JHwGJN3iBYvx=w500-rw
Case máy tính Sama M2,None,330.000đ,https://lh3.googleusercontent.com/ngt1ZXyHOtqXYenT3q-QXDQVQ7SnXT2h8_AIZoWyEnsxIuU8WtognEJ8VPGK7BNadrqHyi7agq0HcgioyqU=w500-rw
Ổ cứng HDD Seagate 1TB 2.5" SATA 3 - ST1000LM048,None,1.230.000đ,https://lh3.googleusercontent.com/8xO9imkUpUpC0vqob0G9M-jMSoglEw9sX1SiOxbDmN5Ehc3WC-QXEi2GokY-oZPPRsFYzzw2O_aSoB-hU8k=w500-rw
Ổ cứng SSD Intel Optane 16GB M.2 2280 NVMe - MEMPEK1W016GAXT,900.000đ,840.000đ,https://lh3.googleusercontent.com/9HNbZDL6w2v2GsAgaX5Hw-T_07IlzBlmxgBd1IX7VP3CD1VhCOD2GbcqTJBq9SLgb17WPGZPkK6T9ffRfg=w500-rw
Ổ cứng HDD WD My Passport 1TB 2.5" - 3.2 (WDBYVG0010BBK-WESN) (Đen),None,1.690.000đ,https://lh3.googleusercontent.com/ttSWKqs7VAhJcT_9poiqP8VR5gHDEx-d2u0yJPcbGug-dbITMboz1SXEFz_fnH1a_-qxkAtT9SaSSOVR-lI=w500-rw
